ID,Rotation_frequency,Type_of_abrasive,Material,Wear
1,4,K80,Cu,16.2
2,4,K80,Al,12.5
3,4,K120,Cu,14.8
4,4,K120,Al,11.2
5,4,K180,Cu,12.9
6,4,K180,Al,11.4
7,5,K80,Cu,15.7
8,5,K80,Al,11.7
9,5,K120,Cu,14.3
10,5,K120,Al,10.3
11,5,K180,Cu,13
12,5,K180,Al,8.96
13,6,K80,Cu,15.4
14,6,K80,Al,13.7
15,6,K120,Cu,14.1
16,6,K120,Al,10.3
17,6,K180,Cu,13.5
18,6,K180,Al,9.11
19,10,K80,Cu,16
20,10,K80,Al,13.7
21,10,K120,Cu,13.9
22,10,K120,Al,11.1
23,10,K180,Cu,14
24,10,K180,Al,10.1
25,12,K80,Cu,16.4
26,12,K80,Al,13.6
27,12,K120,Cu,13.9
28,12,K120,Al,9.8
29,12,K180,Cu,13
30,12,K180,Al,9
31,15,K80,Cu,15.3
32,15,K80,Al,13.6
33,15,K120,Cu,12.8
34,15,K120,Al,10.6
35,15,K180,Cu,13.1
36,15,K180,Al,11.1
37,42,K80,Cu,17.7
38,43,K80,Al,NaN
39,44,K120,Cu,17.2
40,45,K120,Al,Nan
41,46,K180,Cu,15
42,47,K180,Al,NaN
